fid,ID,Distance,RDistance,SP_Dist,SP_RDist,fid_2,Bach,Name,Order,Easting,Northing,Elevation,Elevation_,Width,Depth1,Depth2,Depth3,StreamPart,Longitude,Latitude,Ellipsoida,Origin,Easting RM,Northing R,Elevatio_1,Lateral RM,Antenna he,Antenna _1,Solution s,Averaging,Averagin_1,Samples,PDOP,Base easti,Base north,Base eleva,Base longi,Base latit,Base ellip,Baseline,CS name,ID_2,Sinuosity
"1","2",119.8675488600,119.8675488600,98.2766914990,98.2766914990,"18",4.0000000000,4 Bach 01,"1",2645663.8679999998,1150094.3140000000,2660.1330000000,2658.7230000000,"140","20","18","20",Inj,8.0335013900,46.5006065500,2713.4170000000,Global,0.0120000000,0.0110000000,0.0140000000,0.0160000000,0.1340000000,m,FIX,,,"51",1.5000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,139.0890000000,CH1903+ / LV95 + LN02 height,,1.023552709278370
"2","2",119.8675488600,119.8675488600,98.2766914990,98.2766914990,"19",4.0000000000,4 Bach 02,"2",2645686.4040000001,1150088.1159999999,2658.9380000000,2657.5280000000,"130","15","18","20",WTW,8.0337943300,46.5005492600,2712.2220000000,Global,0.0100000000,0.0100000000,0.0210000000,0.0150000000,0.1340000000,m,FIX,,,"51",1.8000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,126.6860000000,CH1903+ / LV95 + LN02 height,,1.005191141117732
"3","2",119.8675488600,119.8675488600,98.2766914990,98.2766914990,"20",4.0000000000,4 Bach 03,"3",2645699.2140000002,1150080.5670000000,2658.6770000000,2657.2670000000,"120","15","28","20",,8.0339604500,46.5004804800,2711.9610000000,Global,0.0130000000,0.0110000000,0.0160000000,0.0170000000,0.1340000000,m,FIX,,,"51",1.5000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,117.0950000000,CH1903+ / LV95 + LN02 height,,1.090465497737471
"4","2",119.8675488600,119.8675488600,98.2766914990,98.2766914990,"21",4.0000000000,4 Bach 04,"4",2645707.9120000000,1150076.1200000001,2658.3890000000,2656.9790000000,"130","6","18","31",,8.0340733200,46.5004398900,2711.6730000000,Global,0.0100000000,0.0100000000,0.0150000000,0.0140000000,0.1340000000,m,FIX,,,"51",1.4000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,111.9290000000,CH1903+ / LV95 + LN02 height,,1.003457266087441
"5","2",119.8675488600,119.8675488600,98.2766914990,98.2766914990,"22",4.0000000000,4 Bach 05,"5",2645724.0649999999,1150064.0940000000,2657.5560000000,2656.1460000000,"95","18","18","30",,8.0342825500,46.5003306000,2710.8400000000,Global,0.0110000000,0.0100000000,0.0130000000,0.0150000000,0.1340000000,m,FIX,,,"51",1.5000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,100.3840000000,CH1903+ / LV95 + LN02 height,,1.019290251977077
"6","2",119.8675488600,119.8675488600,98.2766914990,98.2766914990,"23",4.0000000000,4 Bach 06,"6",2645753.3010000000,1150049.3670000001,2656.5580000000,2655.1480000000,"115","30","25","18",CTD,8.0346619400,46.5001961300,2709.8420000000,Global,0.0110000000,0.0130000000,0.0140000000,0.0170000000,0.1340000000,m,FIX,,,"51",1.6000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,94.0280000000,CH1903+ / LV95 + LN02 height,,1.100202413399906
"7","2",119.8675488600,119.8675488600,98.2766914990,98.2766914990,"24",4.0000000000,4 Bach 07,"7",2645765.0680000000,1150043.9590000000,2656.2450000000,2654.8350000000,"120","20","18","15",further_down,8.0348146800,46.5001466800,2709.5290000000,Global,0.0120000000,0.0160000000,0.0160000000,0.0200000000,0.1340000000,m,FIX,,,"51",1.5000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,95.0620000000,CH1903+ / LV95 + LN02 height,,1.033289982995744
"8","2",119.8675488600,119.8675488600,98.2766914990,98.2766914990,"25",4.0000000000,4 Bach 08,"8",2645781.5440000002,1150040.4730000000,2655.8730000000,2654.4630000000,"150","20","18","15",further_down,8.0350289600,46.5001142000,2709.1560000000,Global,0.0140000000,0.0100000000,0.0140000000,0.0180000000,0.1340000000,m,FIX,,,"51",1.5000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,102.3030000000,CH1903+ / LV95 + LN02 height,,1.047620636904761
"9","3",126.3203138300,126.3203138300,120.0516519300,120.0516519300,"16",3.0000000000,3 Bach 8,"8",2645711.4029999999,1149976.7609999999,2657.5440000000,2656.1340000000,"80","25","30","30",,8.0341089800,46.4995458700,2710.8300000000,Global,0.0110000000,0.0100000000,0.0140000000,0.0150000000,0.1340000000,m,FIX,,,"51",1.7000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,15.0280000000,CH1903+ / LV95 + LN02 height,,1.048057179639799
"10","3",126.3203138300,126.3203138300,120.0516519300,120.0516519300,"17",3.0000000000,3 Bach 9,"9",2645719.9160000002,1149971.2039999999,2657.1580000000,2655.7480000000,"110","15","38","40",CTD,8.0342193200,46.4994953100,2710.4440000000,Global,0.0130000000,0.0120000000,0.0170000000,0.0180000000,0.1340000000,m,FIX,,,"51",1.6000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,12.7690000000,CH1903+ / LV95 + LN02 height,,1.010259429069490
"11","3",126.3203138300,126.3203138300,120.0516519300,120.0516519300,"9",3.0000000000,3 Bach 1,"1",2645598.6699999999,1150020.0480000000,2661.5790000000,2660.1690000000,"145","23","28","25",further_up,8.0326447700,46.4999429400,2714.8660000000,Global,0.0160000000,0.0120000000,0.0230000000,0.0200000000,0.1340000000,m,FIX,,,"51",2.0000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,127.7860000000,CH1903+ / LV95 + LN02 height,,1.007531487792910
"12","3",126.3203138300,126.3203138300,120.0516519300,120.0516519300,"10",3.0000000000,3 Bach 2,"2",2645617.5410000002,1150017.8080000000,2661.1730000000,2659.7630000000,"105","26","26","29",Inj,8.0328903700,46.4999215000,2714.4590000000,Global,0.0110000000,0.0110000000,0.0220000000,0.0160000000,0.1340000000,m,FIX,,,"51",1.9000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,110.0000000000,CH1903+ / LV95 + LN02 height,,1.005868306371716
"13","3",126.3203138300,126.3203138300,120.0516519300,120.0516519300,"11",3.0000000000,3 Bach 3,"3",2645633.0440000002,1150006.9550000001,2659.9660000000,2658.5560000000,"80","23","26","25",,8.0330912400,46.4998228200,2713.2520000000,Global,0.0100000000,0.0110000000,0.0160000000,0.0150000000,0.1340000000,m,FIX,,,"51",1.9000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,91.2980000000,CH1903+ / LV95 + LN02 height,,1.004503866523240
"14","3",126.3203138300,126.3203138300,120.0516519300,120.0516519300,"12",3.0000000000,3 Bach 4,"4",2645650.1660000002,1150000.8440000000,2659.4230000000,2658.0130000000,"70","28","31","25",,8.0333136700,46.4997666900,2712.7090000000,Global,0.0110000000,0.0100000000,0.0140000000,0.0150000000,0.1340000000,m,FIX,,,"51",1.9000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,73.4260000000,CH1903+ / LV95 + LN02 height,,1.006020257054942
"15","3",126.3203138300,126.3203138300,120.0516519300,120.0516519300,"13",3.0000000000,3 Bach 5,"5",2645658.0680000000,1149996.6200000001,2659.1020000000,2657.6920000000,"95","28","25","30",WTW,8.0334161900,46.4997281500,2712.3880000000,Global,0.0130000000,0.0110000000,0.0130000000,0.0170000000,0.1340000000,m,FIX,,,"51",1.7000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,64.5480000000,CH1903+ / LV95 + LN02 height,,1.004700605145798
"16","3",126.3203138300,126.3203138300,120.0516519300,120.0516519300,"14",3.0000000000,3 Bach 6,"6",2645678.0850000000,1149990.4029999999,2658.7490000000,2657.3390000000,"105","34","25","23",,8.0336763200,46.4996708600,2712.0350000000,Global,0.0110000000,0.0100000000,0.0130000000,0.0150000000,0.1340000000,m,FIX,,,"51",1.5000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,44.5620000000,CH1903+ / LV95 + LN02 height,,1.061715785170946
"17","3",126.3203138300,126.3203138300,120.0516519300,120.0516519300,"15",3.0000000000,3 Bach 7,"7",2645694.2650000001,1149982.8500000001,2658.1450000000,2656.7350000000,"80","20","24","24",,8.0338863400,46.4996018200,2711.4310000000,Global,0.0120000000,0.0170000000,0.0140000000,0.0210000000,0.1340000000,m,FIX,,,"51",1.5000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,27.8020000000,CH1903+ / LV95 + LN02 height,,1.005273738478325
"18","4",322.4632597800,322.4632597800,288.6014648300,288.6014648300,"1",2.0000000000,2 Bach 01,"1",2645580.2349999999,1149925.3970000001,2661.1350000000,2659.7250000000,"70","25","28","28",Inj,8.0323953000,46.4990927800,2714.4250000000,Global,0.0120000000,0.0160000000,0.0150000000,0.0200000000,0.1340000000,m,FIX,,,"51",1.3000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,139.2290000000,CH1903+ / LV95 + LN02 height,,1.008795422522607
"19","4",322.4632597800,322.4632597800,288.6014648300,288.6014648300,"2",2.0000000000,2 Bach 02,"2",2645601.7220000001,1149917.0310000000,2660.5570000000,2659.1470000000,"110","20","25","22",,8.0326743700,46.4990160600,2713.8470000000,Global,0.0100000000,0.0120000000,0.0120000000,0.0160000000,0.1340000000,m,FIX,,,"51",1.3000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,121.8340000000,CH1903+ / LV95 + LN02 height,,1.096798367010619
"21","4",322.4632597800,322.4632597800,288.6014648300,288.6014648300,"4",2.0000000000,2 Bach 03 v2,"3",2645630.8620000002,1149908.1070000001,2659.3310000000,2657.9210000000,"110","15","17","25",,8.0330530700,46.4989338000,2712.6200000000,Global,0.0110000000,0.0110000000,0.0100000000,0.0150000000,0.1340000000,m,FIX,,,"51",1.3000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,100.5530000000,CH1903+ / LV95 + LN02 height,,1.051055334547887
"22","4",322.4632597800,322.4632597800,288.6014648300,288.6014648300,"5",2.0000000000,2 Bach 04,"4",2645649.6590000000,1149899.6669999999,2658.6800000000,2657.2700000000,"80","20","25","22",,8.0332970900,46.4988566000,2711.9690000000,Global,0.0110000000,0.0220000000,0.0120000000,0.0250000000,0.1340000000,m,FIX,,,"51",1.4000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,91.5790000000,CH1903+ / LV95 + LN02 height,,1.004853273093943
"23","4",322.4632597800,322.4632597800,288.6014648300,288.6014648300,"6",2.0000000000,2 Bach 05,"5",2645661.6910000001,1149893.6529999999,2658.4890000000,2657.0790000000,"140","27","23","21",,8.0334532300,46.4988016800,2711.7780000000,Global,0.0100000000,0.0110000000,0.0160000000,0.0150000000,0.1340000000,m,FIX,,,"51",1.6000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,88.3640000000,CH1903+ / LV95 + LN02 height,,1.005325829908287
"24","4",322.4632597800,322.4632597800,288.6014648300,288.6014648300,"7",2.0000000000,2 Bach 06,"6",2645679.3040000000,1149885.8319999999,2657.6280000000,2656.2180000000,"80","20","25","22",,8.0336818800,46.4987301300,2710.9170000000,Global,0.0490000000,0.0410000000,0.0140000000,0.0640000000,0.1340000000,m,FIX,,,"51",1.4000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,86.5070000000,CH1903+ / LV95 + LN02 height,,1.019016092529910
"25","4",322.4632597800,322.4632597800,288.6014648300,288.6014648300,"8",2.0000000000,2 Bach 07,"7",2645706.6370000001,1149878.9580000001,2656.7590000000,2655.3490000000,"100","30","30","21",CTD,8.0340372400,46.4986664300,2710.0480000000,Global,0.0150000000,0.0120000000,0.0190000000,0.0190000000,0.1340000000,m,FIX,,,"51",1.8000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,86.5240000000,CH1903+ / LV95 + LN02 height,,1.119194754191410
"26","0",84.0590696320,84.0590696320,76.1064075450,76.1064075450,"37",1.1000000000,1upper 01,"1",2645860.1790000000,1150655.3149999999,2664.7400000000,2663.3300000000,"70","25","20","22",further_up,8.0361142200,46.5056395400,2718.0150000000,Global,0.0120000000,0.0130000000,0.0170000000,0.0170000000,0.1340000000,m,FIX,,,"51",2.2000000000,2645913.4849999999,1150549.7020000000,2690.0030000000,8.0367982000,46.5046858700,2743.2780000000,120.9740000000,CH1903+ / LV95 + LN02 height,,1.056573130808048
"27","0",84.0590696320,84.0590696320,76.1064075450,76.1064075450,"38",1.1000000000,1upper 02,"2",2645867.1000000001,1150644.4430000000,2664.4320000000,2663.0220000000,"80","20","22","24",further_up,8.0362033100,46.5055412700,2717.7070000000,Global,0.0120000000,0.0130000000,0.0200000000,0.0180000000,0.1340000000,m,FIX,,,"51",1.7000000000,2645913.4849999999,1150549.7020000000,2690.0030000000,8.0367982000,46.5046858700,2743.2780000000,108.5380000000,CH1903+ / LV95 + LN02 height,,1.006627283438605
"28","0",84.0590696320,84.0590696320,76.1064075450,76.1064075450,"39",1.1000000000,1upper 03,"3",2645873.2880000002,1150637.6629999999,2664.2710000000,2662.8610000000,"99","34","31","30",further_up,8.0362832500,46.5054798600,2717.5460000000,Global,0.0180000000,0.0130000000,0.0190000000,0.0220000000,0.1340000000,m,FIX,,,"51",2.3000000000,2645913.4849999999,1150549.7020000000,2690.0030000000,8.0367982000,46.5046858700,2743.2780000000,100.0710000000,CH1903+ / LV95 + LN02 height,,1.027292320651314
"29","0",84.0590696320,84.0590696320,76.1064075450,76.1064075450,"40",1.1000000000,1upper 04,"4",2645886.7459999998,1150617.9839999999,2663.4420000000,2662.0320000000,"65","33","40","38",Inj,8.0364566300,46.5053019100,2716.7170000000,Global,0.0110000000,0.0110000000,0.0170000000,0.0150000000,0.1340000000,m,FIX,,,"51",2.2000000000,2645913.4849999999,1150549.7020000000,2690.0030000000,8.0367982000,46.5046858700,2743.2780000000,77.9740000000,CH1903+ / LV95 + LN02 height,,1.003329523632327
"30","0",84.0590696320,84.0590696320,76.1064075450,76.1064075450,"41",1.1000000000,1upper 05,"5",2645886.7439999999,1150612.4010000001,2663.0840000000,2661.6740000000,"55","18","30","28",,8.0364560500,46.5052517000,2716.3590000000,Global,0.0110000000,0.0130000000,0.0140000000,0.0170000000,0.1340000000,m,FIX,,,"51",2.0000000000,2645913.4849999999,1150549.7020000000,2690.0030000000,8.0367982000,46.5046858700,2743.2780000000,73.2570000000,CH1903+ / LV95 + LN02 height,,1.054978325147867
"31","0",84.0590696320,84.0590696320,76.1064075450,76.1064075450,"42",1.1000000000,1upper 06,"6",2645888.9559999998,1150593.8629999999,2661.9250000000,2660.5150000000,"70","23","28","30",,8.0364830200,46.5050847900,2715.2000000000,Global,0.0130000000,0.0120000000,0.0140000000,0.0180000000,0.1340000000,m,FIX,,,"51",1.8000000000,2645913.4849999999,1150549.7020000000,2690.0030000000,8.0367982000,46.5046858700,2743.2780000000,57.7400000000,CH1903+ / LV95 + LN02 height,,1.008682171572512
"32","0",84.0590696320,84.0590696320,76.1064075450,76.1064075450,"43",1.1000000000,1upper 07,"7",2645890.5070000002,1150566.2749999999,2661.0010000000,2659.5910000000,"105","33","38","40",WTW,8.0365004900,46.5048365200,2714.2760000000,Global,0.0120000000,0.0170000000,0.0190000000,0.0210000000,0.1340000000,m,FIX,,,"51",1.3000000000,2645913.4849999999,1150549.7020000000,2690.0030000000,8.0367982000,46.5046858700,2743.2780000000,40.4550000000,CH1903+ / LV95 + LN02 height,,1.031110134554937
"33","0",84.0590696320,84.0590696320,76.1064075450,76.1064075450,"44",1.1000000000,1upper 08,"8",2645894.5320000001,1150558.8330000001,2660.5160000000,2659.1060000000,"65","25","25","25",,8.0365521900,46.5047693000,2713.7920000000,Global,0.0110000000,0.0140000000,0.0120000000,0.0180000000,0.1340000000,m,FIX,,,"51",1.3000000000,2645913.4849999999,1150549.7020000000,2690.0030000000,8.0367982000,46.5046858700,2743.2780000000,36.1060000000,CH1903+ / LV95 + LN02 height,,1.004804761331445
"34","0",84.0590696320,84.0590696320,76.1064075450,76.1064075450,"45",1.1000000000,1upper 09,"9",2645904.6009999998,1150545.4839999999,2659.6920000000,2658.2820000000,"75","20","30","27",CTD,8.0366820400,46.5046485300,2712.9670000000,Global,0.0150000000,0.0150000000,0.0130000000,0.0210000000,0.1340000000,m,FIX,,,"51",1.4000000000,2645913.4849999999,1150549.7020000000,2690.0030000000,8.0367982000,46.5046858700,2743.2780000000,31.7400000000,CH1903+ / LV95 + LN02 height,,1.008191630147645
"35","1",132.5619076600,132.5619076600,122.4795315500,122.4795315500,"35",1.0000000000,1 Bach 09,"9",2646046.8480000002,1150325.4509999999,2651.7850000000,2650.3750000000,"210","25","33","38",CTD,8.0385132400,46.5026595000,2705.0620000000,Global,0.0120000000,0.0110000000,0.0140000000,0.0160000000,0.1340000000,m,FIX,,,"51",1.6000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,491.5020000000,CH1903+ / LV95 + LN02 height,,1.024725340855273
"36","1",132.5619076600,132.5619076600,122.4795315500,122.4795315500,"36",1.0000000000,1 Bach 10,"10",2646052.6239999998,1150306.3060000001,2650.4860000000,2649.0760000000,"170","50","55","50",further_down,8.0385865800,46.5024868900,2703.7640000000,Global,0.0120000000,0.0110000000,0.0180000000,0.0160000000,0.1340000000,m,FIX,,,"51",1.7000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,481.7000000000,CH1903+ / LV95 + LN02 height,,1.045885697554626
"37","1",132.5619076600,132.5619076600,122.4795315500,122.4795315500,"26",1.0000000000,1 Bach 01,"1",2645976.5430000001,1150423.3550000000,2654.8860000000,2653.4760000000,"150","50","30","25",Inj,8.0376071100,46.5035450000,2708.1630000000,Global,0.0130000000,0.0150000000,0.0160000000,0.0190000000,0.1340000000,m,FIX,,,"51",1.6000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,529.0130000000,CH1903+ / LV95 + LN02 height,,1.060214370607868
"38","1",132.5619076600,132.5619076600,122.4795315500,122.4795315500,"27",1.0000000000,1 Bach 02,"2",2645986.3350000000,1150416.1620000000,2654.4160000000,2653.0060000000,"130","50","28","25",,8.0377339700,46.5034796300,2707.6930000000,Global,0.0110000000,0.0110000000,0.0140000000,0.0150000000,0.1340000000,m,FIX,,,"51",1.6000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,527.7820000000,CH1903+ / LV95 + LN02 height,,1.002455785976166
"39","1",132.5619076600,132.5619076600,122.4795315500,122.4795315500,"28",1.0000000000,1 Bach 03,"3",2645998.6000000001,1150405.5279999999,2654.3110000000,2652.9010000000,"145","45","40","30",,8.0378926800,46.5033831300,2707.5880000000,Global,0.0120000000,0.0110000000,0.0210000000,0.0160000000,0.1340000000,m,FIX,,,"51",1.7000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,525.2710000000,CH1903+ / LV95 + LN02 height,,1.004921074570147
"40","1",132.5619076600,132.5619076600,122.4795315500,122.4795315500,"29",1.0000000000,1 Bach 04,"4",2646008.8139999998,1150396.4660000000,2654.0470000000,2652.6370000000,"155","30","28","28",,8.0380248400,46.5033009100,2707.3230000000,Global,0.0110000000,0.0110000000,0.0130000000,0.0150000000,0.1340000000,m,FIX,,,"51",1.5000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,523.3680000000,CH1903+ / LV95 + LN02 height,,1.003102376338286
"41","1",132.5619076600,132.5619076600,122.4795315500,122.4795315500,"32",1.0000000000,1 Bach 06 v2,"6",2646034.2450000001,1150370.1220000000,2653.2420000000,2651.8320000000,"195","20","30","28",,8.0383535200,46.5030621900,2706.5190000000,Global,0.0150000000,0.0110000000,0.0160000000,0.0180000000,0.1340000000,m,FIX,,,"51",1.6000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,517.2500000000,CH1903+ / LV95 + LN02 height,,1.009966353124135
"42","1",132.5619076600,132.5619076600,122.4795315500,122.4795315500,"30",1.0000000000,1 Bach 05,"5",2646023.1009999998,1150382.4920000001,2653.5860000000,2652.1760000000,"150","30","40","45",WTW,8.0382095800,46.5031742300,2706.8630000000,Global,0.0110000000,0.0140000000,0.0170000000,0.0180000000,0.1340000000,m,FIX,,,"51",1.8000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,520.3050000000,CH1903+ / LV95 + LN02 height,,1.005080658709766
"43","1",132.5619076600,132.5619076600,122.4795315500,122.4795315500,"33",1.0000000000,1 Bach 07,"7",2646040.9679999999,1150344.7810000000,2652.1830000000,2650.7730000000,"160","28","30","45",,8.0384385800,46.5028337800,2705.4600000000,Global,0.0100000000,0.0100000000,0.0230000000,0.0150000000,0.1340000000,m,FIX,,,"51",1.7000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,502.0020000000,CH1903+ / LV95 + LN02 height,,1.165172292669485
"44","1",132.5619076600,132.5619076600,122.4795315500,122.4795315500,"34",1.0000000000,1 Bach 08,"8",2646045.4019999998,1150331.1580000001,2651.9150000000,2650.5050000000,"210","30","33","33",,8.0384949800,46.5027109400,2705.1920000000,Global,0.0100000000,0.0100000000,0.0210000000,0.0140000000,0.1340000000,m,FIX,,,"51",1.6000000000,2645713.6740000001,1149964.6560000000,2666.2900000000,8.0341373700,46.4994368400,2719.5760000000,494.7310000000,CH1903+ / LV95 + LN02 height,,1.006615936142877
